Name of Hike,Difficulty,Length,"Location (Latitude, Longitude)"
"Smarts Mountain via Appalachian and Ranger Trail
",4,6.9,"43.4541, -71.1841"
"Campbell and Tufts Trail Loop via Gage's Mill Trail
",4,2.8,"43.4614, -71.3128"
"Lincoln Woods Trail
",4,9.4,"43.4731, -72.0608"
"Mount Tremont Trail
",4,5.5,"43.4833, -71.3327"
"Mount Zealand and The Bonds via Zealand Trail
",5,18.5,"43.50458598930273, -71.37569831572377"
"Heads Pond
",3,2.9,"43.519398056001656, -71.27043226234417"
"Black Pond Trail Via Lincoln Woods Trail
",4,6.7,"43.519398056001656, -71.27043226234417"
"Mount Percival
",5,3.7,"43.519398056001656, -71.27043226234417"
"Low's Bald Spot Trail
",3,3.9,"43.519398056001656, -71.27043226234417"
"Upper Greeley Ponds via Kancamagus Highway
",3,2.9,"43.519398056001656, -71.27043226234417"
"Wildcat Ridge Trail to Nineteen Mile Brook Trail
",4,7.5,"43.519398056001656, -71.27043226234417"
"Blodgett Hill and Rocky Trail Loop
",3,3.2,"43.5416, -71.3518"
"Bald Knob Cut-Off Trail
",3,3.9,"43.54588299243536, -71.37821268446437"
"Mountain Trail to South Ridge Trail Loop
",2,1.5,"43.5548, -71.2915"
"Tucker Brook Loop
",1,1,"43.5617, -71.3041"
"White Horse Trail
",3,3.9,"43.5617, -71.3041"
"Windham Rail Trail
",4,4.1,"43.57812038404616, -71.37064758805516"
"Mount Tom Spur
",4,5.5,"43.5800, -71.3136"
"Tucker and French Mill Pond Loop
",3,2.5,"43.5930, -71.2346"
"North Sugarloaf
",4,2.4,"43.65001372476624, -71.90141862683247"
"Imp Trail
",4,6,"43.65001372476624, -71.90141862683247"
"Yellow Jacket XTC Trail
",3,3.2,"43.65001372476624, -71.90141862683247"
"Wapack and Cliff Trail
",4,9.8,"43.65001372476624, -71.90141862683247"
"Mount Prospect Trail
",4,4,"43.650865972090095, -71.91086316483683"
"White Dot, Cascade Link, and Pumpelly Trail Loop
",3,4.3,"43.72986149211681, -71.29494879223955"
"Black Cap and Cranmore Mountain via Black Cap Trail
",4,4.4,"43.739168250288834, -71.46333690153867"
"Little Sugarloaf
",2,1.4,"43.757532900630835, -71.31568102530339"
"Tripyramids via Livermore Trail, Scaur Ridge Trail
",5,11.3,"43.80586890846913, -71.5656854943803"
"Lovequist Loop
",2,1.1,"43.828701549983705, -71.48384573036951"
"Goose Pond Loop
",4,2.1,"43.85089356398732, -71.8002455880399"
"Bald Knob and Turtleback Mountain Loop
",4,8.3,"43.88645186303513, -72.02333721037807"
"Windham Rail Trail from Main Street
",4,12.2,"43.88645186303513, -72.02333721037807"
"Carter Dome (Winter Route)
",4,10.4,"43.9126127196043, -71.36464927454399"
"Stonehouse Pond
",2,1.2,"43.91939081384748, -71.29159153167811"
"Kilburn Crags
",2,1.8,"43.91939081384748, -71.29159153167811"
"Cascade Brook and Basin Cascade Trail Loop
",3,2.9,"43.91939081384748, -71.29159153167811"
"Mount Success via Appalachian Trail
",4,6.5,"43.91939081384748, -71.29159153167811"
"Mount Parker via Mount Langdon and Mount Parker Tr…
",4,7.3,"43.93269377828527, -71.39835769686562"
"White Ledge Loop Trail
",4,4.1,"43.93269377828527, -71.39835769686562"
"Peaked Hill Pond Trail
",3,3.3,"43.93269377828527, -71.39835769686562"
"View Loop to Purgatory Brook Trail
",3,3.3,"43.93269377828527, -71.39835769686562"
"Cotton Valley Rail-Trail
",4,12,"43.9398219068571, -71.22731137639344"
"North Mountain and Boulder Trail Loop
",4,9.5,"43.949951986652465, -71.38412235464757"
"Farm View Hilltop Trail
",3,3,"43.95865510302116, -71.27404466804674"
"Temple Mountain
",5,5.2,"43.96899584799571, -71.44056824529291"
"Red Hill Trail
",3,3.1,"43.989988160946744, -71.29899125734536"
"South Mountain via Mountain and Woronoco Loop
",4,7.6,"43.991406703669455, -71.57893940337547"
"Kettles Path to the Scaur
",3,3.8,"43.991406703669455, -71.57893940337547"
"Nashua River Rail Trail: Nashua to Ayer
",4,12.3,"43.99540815268891, -71.39629159200148"
